chain_id,assigned_period,position,node_id,source_order_id,source_resource_id,source_period,material_role,weight,width,thickness,min_temperature,max_temperature,grade,partition_id,piece_index,virtual_prototype_id,virtual_purpose,virtual_accepted_sequence,related_partition_id,sequence,small_roll,delivery_date
initial-000016,BR_00000001,1,0002002176-000230,0002002176-000230,0002002176-000230,BR_00000006,normal_real,15.0,1555.0,0.6,770.0,810.0,DC51D+Z,,,,,,,85,04,2026-06-30
initial-000016,BR_00000001,2,0002002185-000130,0002002185-000130,0002002185-000130,BR_00000006,normal_real,23.0,1545.0,0.65,770.0,810.0,DC51D+Z,,,,,,,86,04,2026-06-30
initial-000016,BR_00000001,3,0002002185-000080,0002002185-000080,0002002185-000080,BR_00000006,normal_real,40.0,1540.0,0.7,770.0,810.0,DC51D+Z,,,,,,,87,04,2026-06-30
initial-000016,BR_00000001,4,0002001998-000190,0002001998-000190,0002001998-000190,BR_00000001,normal_real,42.46,1510.0,0.6,770.0,810.0,DC51D+Z,,,,,,,88,04,2026-05-31
initial-000016,BR_00000001,5,0002002195-000160,0002002195-000160,0002002195-000160,BR_00000006,normal_real,635.0,1510.0,0.6,770.0,810.0,DC51D+Z,,,,,,,89,04,2026-06-30
initial-000016,BR_00000001,6,0002002185-000140,0002002185-000140,0002002185-000140,BR_00000006,normal_real,30.0,1510.0,0.65,770.0,810.0,DC51D+Z,,,,,,,90,04,2026-06-30
initial-000016,BR_00000001,7,0002002176-000080,0002002176-000080,0002002176-000080,BR_00000006,normal_real,15.0,1498.0,0.65,770.0,810.0,DC51D+Z,,,,,,,91,04,2026-06-30
initial-000016,BR_00000001,8,0002002195-000150,0002002195-000150,0002002195-000150,BR_00000006,normal_real,175.0,1490.0,0.65,770.0,810.0,DC51D+Z,,,,,,,92,04,2026-06-30
initial-000016,BR_00000001,9,0002002162-000010,0002002162-000010,0002002162-000010,BR_00000006,normal_real,72.0,1470.0,0.65,770.0,810.0,DC51D+Z,,,,,,,93,04,2026-06-30
initial-000016,BR_00000001,10,0002002176-000030,0002002176-000030,0002002176-000030,BR_00000006,normal_real,15.0,1465.0,0.65,770.0,810.0,DC51D+Z,,,,,,,94,04,2026-06-30
initial-000016,BR_00000001,11,0002002195-000140,0002002195-000140,0002002195-000140,BR_00000006,normal_real,72.0,1463.0,0.65,770.0,810.0,DC51D+Z,,,,,,,95,04,2026-06-30
