chain_id,assigned_period,position,node_id,source_order_id,source_resource_id,source_period,material_role,weight,width,thickness,min_temperature,max_temperature,grade,partition_id,piece_index,virtual_prototype_id,virtual_purpose,virtual_accepted_sequence,related_partition_id,sequence,small_roll,delivery_date
initial-000004,BR_00000001,18,0030123143-000060,0030123143-000060,0030123143-000060,BR_00000006,normal_real,78.0,1360.0,0.65,830.0,850.0,SCG4+Z,,,,,,,117,04,2026-06-30
initial-000014,BR_00000001,0,0002002177-000030,0002002177-000030,0002002177-000030,BR_00000006,normal_real,15.0,1590.0,0.65,770.0,810.0,DC51D+Z,,,,,,,118,05,2026-06-30
initial-000014,BR_00000001,1,0002001995-000010,0002001995-000010,0002001995-000010,BR_00000001,normal_real,19.16,1583.0,0.65,770.0,810.0,DC51D+Z,,,,,,,119,05,2026-05-31
initial-000014,BR_00000001,2,0002002180-000340,0002002180-000340,0002002180-000340,BR_00000006,normal_real,20.0,1555.0,0.6,770.0,810.0,DC51D+Z,,,,,,,120,05,2026-06-30
initial-000014,BR_00000001,3,0002002180-000130,0002002180-000130,0002002180-000130,BR_00000006,normal_real,34.0,1510.0,0.6,770.0,810.0,DC51D+Z,,,,,,,121,05,2026-06-30
initial-000014,BR_00000001,4,0002002176-000220,0002002176-000220,0002002176-000220,BR_00000006,normal_real,15.0,1485.0,0.6,770.0,810.0,DC51D+Z,,,,,,,122,05,2026-06-30
initial-000014,BR_00000001,5,0030118006-000070,0030118006-000070,0030118006-000070,BR_00000001,normal_real,43.72,1480.0,0.8,700.0,840.0,DC51D+Z,,,,,,,123,05,2026-05-31
initial-000014,BR_00000001,6,0030123142-000010,0030123142-000010,0030123142-000010,BR_00000006,normal_real,312.0,1465.0,0.7,830.0,850.0,SCG4+Z,,,,,,,124,05,2026-06-30
initial-000014,BR_00000001,7,0030123142-000020,0030123142-000020,0030123142-000020,BR_00000006,normal_real,182.0,1440.0,0.7,830.0,850.0,SCG4+Z,,,,,,,125,05,2026-06-30
initial-000014,BR_00000001,8,0002002170-000430,0002002170-000430,0002002170-000430,BR_00000006,normal_real,23.0,1440.0,0.65,830.0,850.0,DC53D+Z,,,,,,,126,05,2026-06-30
initial-000014,BR_00000001,9,0002002055-000100,0002002055-000100,0002002055-000100,BR_00000001,normal_real,18.26,1413.0,0.6,820.0,840.0,DX53D+Z-MD,,,,,,,127,05,2026-05-31
initial-000014,BR_00000001,10,0030121799-000010,0030121799-000010,0030121799-000010,BR_00000006,normal_real,168.0,1395.0,0.6,830.0,850.0,DC54D+Z,,,,,,,128,05,2026-06-30
initial-000014,BR_00000001,11,0030121346-000020,0030121346-000020,0030121346-000020,BR_00000002,normal_real,48.0,1393.0,0.5,820.0,840.0,DX53D+Z,,,,,,,129,05,2026-06-10
initial-000014,BR_00000001,12,0030125168-000010,0030125168-000010,0030125168-000010,BR_00000006,normal_real,72.0,1375.0,0.4,700.0,840.0,DC51D+Z,,,,,,,130,05,2026-06-30
initial-000014,BR_00000001,13,0002002054-000010,0002002054-000010,0002002054-000010,BR_00000001,normal_real,36.83,1365.0,0.5,820.0,840.0,DX53D+Z-CD,,,,,,,131,05,2026-05-31
initial-000014,BR_00000001,14,0010019718-000010,0010019718-000010,0010019718-000010,BR_00000006,actual_transition,58.0,1350.0,0.5,700.0,840.0,DC51D+Z,,,,,,,132,05,2026-06-30
